Titlu,Data,Ora,Locație,Adresă,URL Imagine
Horia Brenciu & HB Orchestra în concert Berăria H,"luni, 6 ianuarie 2025",20:30,Beraria H,"Kiseleff 32, Parc Herastrau, (fostul Pavilion H), 011343 București",https://livetickets-cdn.azureedge.net/itemimages/concert-horia-brenciu-bucuresti-2025/Background_ZOOM.jpg?41c44fa2-a90b-43a8-92e3-bee0b8c8e6ad
Florin Salam și orchestra în concert Berăria H,"vineri, 10 ianuarie 2025",23:00,Beraria H,"Kiseleff 32, Parc Herastrau, (fostul Pavilion H), 011343 București",https://livetickets-cdn.azureedge.net/itemimages/concert-florin-salam-bucuresti-2025/Background_ZOOM.jpg?3d44df94-c775-4fdf-8a48-6b16d6cb38ac
Albert NBN One Club Bucuresti,"vineri, 17 ianuarie 2025",23:00,One Club,One Club Șoseaua Orhideelor 1 București Romania,https://livetickets-cdn.azureedge.net/itemimages/albert-nbn-one-club-bucuresti/Background_ZOOM.jpg?f529f52a-ff8b-4093-8207-ee8bfabe49ae
Concert Irina Loghin Berăria H,"sâmbătă, 18 ianuarie 2025",18:45,Beraria H,"Kiseleff 32, Parc Herastrau, (fostul Pavilion H), 011343 București",https://livetickets-cdn.azureedge.net/itemimages/concert-irina-loghin-bucuresti-2025/Background_ZOOM.jpg?8b4e6e25-cac9-4ea4-8874-84737d3c8926
Tzancă Uraganu' și formația în concert Berăria H,"duminică, 19 ianuarie 2025",21:30,Beraria H,"Kiseleff 32, Parc Herastrau, (fostul Pavilion H), 011343 București",https://livetickets-cdn.azureedge.net/itemimages/concert-tzanca-uraganu-2025-bucuresti/Background_ZOOM.jpg?35005f0a-cbc4-4227-bafd-e074103e2943
Compact (Paul Ciuci) în concert Berăria H,"sâmbătă, 1 februarie 2025",19:00,Beraria H,"Kiseleff 32, Parc Herastrau, (fostul Pavilion H), 011343 București",https://livetickets-cdn.azureedge.net/itemimages/concert-compact-paul-ciuci-2025-bucuresti/Background_ZOOM.jpg?f73bbbd7-a024-4d44-9c96-da8dbbbd57d7
Luis Gabriel & Orchestra Diamantelor în concert Berăria H,"sâmbătă, 8 februarie 2025",23:30,Beraria H,"Kiseleff 32, Parc Herastrau, (fostul Pavilion H), 011343 București",https://livetickets-cdn.azureedge.net/itemimages/concert-luis-gabriel-bucuresti-2025/Background_ZOOM.jpg?18b7b97b-807e-47d1-af1e-e09956489305
Timpuri Noi & Zob // #DubluConcert Berăria H,"marți, 18 februarie 2025",20:30,Beraria H,"Kiseleff 32, Parc Herastrau, (fostul Pavilion H), 011343 București",https://livetickets-cdn.azureedge.net/itemimages/concert-timpuri-noi-zob-bucuresti-2025/Background_ZOOM.jpg?a232196b-9504-4429-844c-143abfb0bc43
Gipsy Kings feat. Tonino Baliardo în concert Berăria H | 28 Februarie,"vineri, 28 februarie 2025",21:00,Beraria H,"Kiseleff 32, Parc Herastrau, (fostul Pavilion H), 011343 București",https://livetickets-cdn.azureedge.net/itemimages/concert-gipsy-kings-bucuresti-2025/Background_ZOOM.jpg?55adb9fe-d8fe-43f1-bf93-43ead57e20ae
Taraful de la Vărbilău în concert Berăria H,"miercuri, 5 martie 2025",20:15,Beraria H,"Kiseleff 32, Parc Herastrau, (fostul Pavilion H), 011343 București",https://livetickets-cdn.azureedge.net/itemimages/concert-taraful-varbilau-bucuresti-2025/Background_ZOOM.jpg?1b0272ca-3b80-4d94-8c45-013018c5d69c
Feli în concert Berăria H,"sâmbătă, 22 martie 2025",19:00,Beraria H,"Kiseleff 32, Parc Herastrau, (fostul Pavilion H), 011343 București",https://livetickets-cdn.azureedge.net/itemimages/concert-feli-bucuresti-2025/Background_ZOOM.jpg?b6d4a43d-4463-404c-bd89-026975474bd6
Robin and the Backstabbers în concert Berăria H,"sâmbătă, 17 mai 2025",18:45,Beraria H,"Kiseleff 32, Parc Herastrau, (fostul Pavilion H), 011343 București",https://livetickets-cdn.azureedge.net/itemimages/robin-backstabbers-ratb-concert-2025/Background_ZOOM.jpg?56419900-a943-4817-86d2-00bdddf53b89
